Title,Text
SBY Restui Relawan Demokrat Dukung Ganjar,"Hasil periksa fakta ‘Ainayya Al Fatikhah.Unggahan video yang mengklaim bahwa Susilo Bambang Yudhoyono (SBY) memberikan restu kepada relawan dan petinggi Partai Demokrat untuk mendukung Ganjar dalam Pilpres 2024 merupakan konten yang menyesatkan. Faktanya, SBY mengaku tidak pernah merestui petinggi Demokrat yang mencatut namanya untuk mendukung Ganjar dalam Pilpres 2024. (TikTok) “SBY Restui Relawan Demokrat Dukung Ganjar”Akun TikTok @baturaya_merangkul mengunggah video dengan klaim bahwa Ketua Majelis Tinggi Partai Demokrat, Susilo Bambang Yudhoyono (SBY), memberikan restu kepada para relawan Partai Demokrat yang tergabung dalam Forum Komunikasi Lintas Pendiri Demokrat Kader (FKLPDK) untuk mendukung Ganjar Pranowo dalam Pilpres 2024.Setelah dilakukan penelusuran, faktanya SBY mengaku tidak pernah merestui petinggi Demokrat yang mencatut namanya untuk mendukung Ganjar Pranowo-Mahfud MD dalam Pilpres 2024.KompasSBY menegaskan bahwa dukungan FKLPDK terhadap pasangan Ganjar-Mahfud tidak serta merta mewakili partai besutannya. SBY juga menekankan bila Partai Demokrat tetap solid mendukung Prabowo-Gibran dalam Pilpres 2024.Sebelumnya diketahui bahwa sejumlah pendiri Partai Demokrat dalam FKLPDK mengalihkan dukungan ke pasangan nomor urut 3, Ganjar Pranowo-Mahfud MD. Mereka mencabut dukungan yang telah dideklarasikan untuk Prabowo Subianto karena polemik pencalonan Gibran Rakabuming sebagai cawapres dan kontroversi yang terjadi di Mahkamah Konstitusi.Dengan demikian, informasi yang disebarluaskan oleh akun TikTok @baturaya_merangkul merupakan informasi yang salah."
“Gibran Mundur Sebagai Cawpres Prabowo”,"Hasil periksa fakta Yudho ArdiInformasi menyesatkan. Judul dan isi video tidak sesuai dan narator dalam video tersebut tidak berkaitan. Dalam video tersebut sama sekali tidak ditemukan informasi bahwa Gibran mundur sebagai Cawpres Prabowo. FACEBOOK  GEG3R PAGI INI — GIBRAN MUNDUR JADI CAWAPRES, HAKIM MK ANC∆M D3NDA 50 MILYAR & PENJ4RA 5 TAHUNSebuah unggahan video di media sosial Facebook dengan nama pengguna “Nely Story” mengunggah video dengan narasi bahwa Gibran mundur sebagai Cawpres Prabowo.Thumbnail video merupakan hasil rekayasa, salah satu foto identik dengan foto sosok Enny Nurbaningsih yang ada di artikel milik okezone.com dengan judul artikel “Ini 9 Hakim MK yang Tolak Seluruh Gugatan Prabowo-Sandi soal Pilpres”.Narator video hanya membacakan artikel di laman tribunnews.com dengan judul artikel “Setelah Resmi Menjadi Cawapres Gibran Bisa Didenda Rp 50 Miliar dan Penjara 5 Tahun Jika Mundur”.Artikel itu mengutip isi Pasal 552 Undang-Undang Pemilu, yang mengatur bahwa setiap calon presiden atau wakil presiden yang dengan sengaja mengundurkan diri setelah penetapan pasangan calon hingga pelaksanaan pemungutan suara putaran pertama didenda maksimum Rp 50 miliar dan penjara maksimum 5 tahun.Dengan demikian klaim Gibran mundur sebagai Cawpres Prabowo adalah salah dan masuk kategori konten yang dimanipulasi."
Foto Prabowo Pimpin Doa di Gereja,"Hasil Periksa Fakta Vinanda (Relawan Mafindo).Faktanya, foto yang digunakan merupakan hasil suntingan. Foto aslinya merupakan momentum ketika Uskup Keuskupan Agung Medan, Mgr Anicetus B Sinaga, sedang memberikan khotbah pada peresmian Gereja Katolik Santa Perawan Maria Kabanjahe, Medan pada Minggu, 16 Februari 2014.KATEGORI: KONTEN YANG DIMANIPULASIKetika informasi atau gambar yang asli dimanipulasi untuk menipu. ( Arsip)Apa sih sebenarnya agama Prabowo Subianto? Ke Mesjid jarang, tapi berdoa ala Kristen juga karang-kadang. Gimana kita ga bimbang?Akun @menolak lupa mengunggah sebuah postingan di Tiktok pada 25 Januari dengan klaim sebagaimana tertulis pada narasi. Postingan tersebut mendapatkan reaksi sebanyak 82 ribu like, 22.4 ribu komentar, dan 4852 kali dibagikan.Postingan tersebut berisi Kumpulan foto yang pada slide pertama memperlihatkan sosok Prabowo Subianto, Capres nomor urut 02 pada Pemilu 2024 tengah berada di altar sebuah Gereja dengan mengenakan jubah Uskup.Setelah ditelusuri, ditemukan fakta bahwa foto yang digunakan merupakan hasil suntingan dan telah beredar sejak tahun 2014. Aslinya foto tersebut diunggah salah satunya oleh akun Facebook dengan nama Kesain Kalak Karo pada 18 Februari 2014 dengan narasi sebagai berikut:Sebelumnya, foto hasil suntingan tersebut pernah beredar pada 2018 dan 2014 dengan wajah Prabowo, dan wajah Jokowi pada 2014 silam.Dengan demikian, klaim foto Prabowo saat sedang memimpin doa di Gereja sebagaimana narasi yang beredar, tidak benar."
"Gambar Anies dengan Narasi “Untuk Semua Pendukung Saya, Jangan Lupa Coblos No.2 Prabowo Gibran”","Hasil Periksa Fakta LuthfiyahGambar Anies menunjukkan dua jari dengan “Untuk Semua Pendukung Saya, Jangan Lupa Coblos No.2 Prabowo Gibran” tidak benar. Faktanya, gambar tersebut merupakan gambar saat Anies menjadi juru kampanye pasangan Jokowi-JK. Narasi pada gambar tersebut tidak berhubungan dengan gambar.Selengkapnya pada bagian penjelasan.  “Untuk Semua Pendukung Saya, Jangan Lupa Coblos No.2 Prabowo Gibran” Akun Facebook Andi Zzh memposting sebuah gambar Anies Baswedan dengan gaya dua jari. Dalam gambar yang diunggah pada 30 Januari 2024 pukul 08.34 terdapat narasi “Untuk Semua Pendukung Saya, Jangan Lupa Coblos No.2 Prabowo Gibran”.Setelah ditelusuri menggunakan Google Image ditemukan sebuah gambar yang identik dengan postingan Facebook pada website Tribun dalam artikel berjudul “Anies Baswedan Dukung Jokowi-JK Salam 2 Jari” Sabtu, 5 Juli 2014 pukul 15.02 WIB. Gambar tersebut merupakan gambar saat Anies menjadi juru kampanye pasangan Jokowi- JK di lapangan Irepa, Cilodong, Depok 4 Juli 2014.Dengan demikian gambar Anies menunjukkan dua jari dengan “Untuk Semua Pendukung Saya, Jangan Lupa Coblos No.2 Prabowo Gibran” tidak benar. Gambar tersebut merupakan gambar saat Anies menjadi juru kampanye pasangan Jokowi JK. Narasi pada gambar tersebut tidak berhubungan dengan gambar, sehingga masuk dalam kategori konten yang menyesatkan.REFERENSI:"
UGM keluarkan Ketua BEM karena kritik Presiden Jokowi,"Jakarta (ANTARA/JACX) - Nama Ketua Badan Eksekutif Mahasiswa (BEM) Universitas Gadjah Mada (UGM) Gielbran Muhammad Noor viral setelah melakukan aksi mengkritik Presiden Joko Widodo atau Jokowi. Gielbran bersama BEM UGM menggelar aksi dan memberikan gelar kepada Presiden Jokowi sebagai alumnus UGM yang paling memalukan di kawasan UGM pada Jumat (8/12/2023). Dalam beberapa waktu terakhir ramai di media sosial yang menyebutkan jika pihak UGM telah mengeluarkan mahasiswa yang mengkritik presiden tersebut. Berikut narasi yang ditulis akun TikTok dengan menampilkan foto Rektor UGM Prof dr Ova Emilia dan Ketua BEM UGM Gielbran Muhammad Noor. Hoaks yang beredar di Tiktok terkait pemecatan Ketua BEM UGM karena mengkritik Presiden Joko Widodo. (ANTARA/HO- Tiktok) “kami pimp universitas UGM mengeluarkan mahasiswa yang menghina Presiden Ir Jokowi Widodo Alhamdulillah…! akhirnya mahasiswa yang paling cerdas dikeluarkan dari Kampus, prestasinya cuma dapat nasi kotak gratis"" Namun, benarkah klaim tersebut? Penjelasan Sekretaris UGM Dr Andi Sandi Antonius Tabusassa Tonralipu menegaskan bahwa kabar tersebut merupakan hoaks atau disinformasi. “Kabar kalau UGM mengeluarkan Gielbran itu tidak benar atau hoaks. UGM tidak mengeluarkan atau men-DO yang bersangkutan,” ujar Andi kepada ANTARA di Jakarta, Ahad. Andi juga menegaskan bahwa pihak kampus juga tidak memberikan peringatan pada Gielbran, karena merupakan hak seseorang untuk menyampaikan aspiirasinya. Pihak UGM hanya mengingatkan mahasiswa untuk mengedepankan etika dan kesantunan saat melontarkan kritik. Saat ini, poster yang memuat kritik tersebut telah berganti dengan narasi Presiden Jokowi sebagai alumnus yang paling membanggakan. Menurut Andi, hal itu merupakan dinamika kampus. “UGM tetap memberikan ruang bagi mahasiswa untuk menyampaikan aspirasinya. Penyampaian aspirasi hendaknya dilakukan dengan cara yang mengedepankan kesantunan dan tidak mengganggu ketertiban,” imbuh dia. Dengan demikian kabar yang menyebutkan Ketua BEM UGM dikeluarkan karena kritik Jokowi tidak benar. Klaim : UGM keluarkan Ketua BEM karena kritik Presiden Jokowi Rating : Hoaks"
"Ganjar sebut data bansos saat ini tidak valid, benarkah?","Jakarta (ANTARA/JACX) - Calon presiden nomor urut tiga Ganjar Pranowo mengatakan data bantuan sosial (bansos) yang digunakan saat ini masih memiliki banyak kekurangan dan cenderung tidak mutakhir. ""Bansos ini adalah kewajiban negara dan rakyat berhak mendapatkannya, tapi kita punya problem, karena banyak klaim yang diberikan ini seolah-olah bantuan orang perorang atau kelompok padahal kita masih punya ada data yang tidak valid, ada cara penyampaian yang tidak benar ada protes yang tidak terverifikasi atau tidak terespons dengan baik,"" kata Ganjar di debat kelima Pilpres 2024 yang dilaksanakan di Jakarta, Minggu (4/2). Lalu, benarkah klaim tersebut? Penjelasan: Senior Research Associate Centre for Innovation Policy and Governance (CIPG) Klara Esti menjelaskan Data Terpadu Kesejahteraan Sosial (DTKS) selama ini menjadi acuan pemerintah, untuk menetapkan sasaran program perlindungan sosial dan penanggulangan kemiskinan. Di antaranya adalah Program Keluarga Harapan (PKH), Bantuan Sosial Tunai, dan Bantuan Langsung Tunai Bahan Bakar Minyak (BLT BBM), serta pembagian sembako atau Bantuan Pangan Nontunai. Namun, menurut Klara, DTKS tidak akurat karena tidak dimutakhirkan dengan cukup cepat dan berkala. DI sisi lain, warga miskin kesulitan mendaftarkan diri ke DTKS secara daring. Padahal, menurut Undang-Undang (UU) No. 13 Tahun 2011 tentang Penanganan Fakir Miskin, pemerintah daerah kabupaten/kota bertanggungjawab melakukan pemutakhiran melalui kegiatan verifikasi dan validasi (verval) data terpadu secara berkala. Kendati demikian, tidak semua pemerintah daerah melakukannya. Berdasarkan evaluasi yang dilakukan Kemensos hingga Januari 2020, hanya 50 kabupaten dan kota yang telah memperbaiki DTKS di atas 50 persen. Dengan kondisi ini, data bansos yang tidak tepat menjadi permasalahan yang selalu berulang. KPU RI telah menetapkan tiga pasangan capres-cawapres peserta Pilpres 2024 yakni Anies Baswedan-Muhaimin Iskandar dengan nomor urut 1, Prabowo Subianto-Gibran Rakabuming Raka nomor urut 2, dan Ganjar Pranowo-Mahfud Md nomor urut 3. Selepas debat pertama Pilpres 2024 pada 12 Desember 2023, debat kedua 22 Desember 2023, debat ketiga 7 Januari 2024, dan debat keempat pada 21 Januari 2024, KPU menggelar debat kelima di Balai Sidang Jakarta. Debat pamungkas Pilpres 2024 sekaligus menjadi debat ketiga yang mempertemukan para capres dan KPU menyelenggarakannya dengan tema meliputi pendidikan, kesehatan, ketenagakerjaan, kebudayaan, teknologi informasi, serta kesejahteraan sosial dan inklusi. Artikel ini adalah hasil kolaborasi Aliansi Jurnalis Independen, Asosiasi Media Siber Indonesia, Masyarakat Anti-Fitnah Indonesia, Cekfakta.com bersama 18 media di Indonesia."
"Gedung KPU Banjir Darah, Ribuan Mahasiswa Desak KPU Tolak Gibran Jadi Cawapres","Beredar sebuah unggahan video di platform YouTube yang diklaim menggambarkan kejadian mencekam di depan gedung Komisi Pemilihan Umum yang diakibatkan ribuan mahasiswa demo untuk mendesak KPU untuk menolak Gibran Rakabuming Raka menjadi calon wakil presiden (cawapres) pada Pemilihan Presiden (Pilpres) 2024 mendatang.Faktanya, dilansir dari turnbackhoax.id, informasi yang beredar tersebut adalah informasi tidak benar. Video tersebut merupakan potongan video dari demonstrasi terkait penolakan UU Cipta Kerja tahun 2022 yang diunggah oleh oleh bbc.com pada 9 Oktober 2020.Dalam video tersebut dijelaskan bahwa terdapat ribuan buruh dan mahasiswa merobohkan pagar kompleks Gedung DPRD Jawa Tengah (Jateng) saat berunjuk rasa menolak RUU Cipta Kerja Omnibus Law yang telah disahkan oleh DPR RI di depan Gedung DPRD Jateng, Kota Semarang, Jawa Tengah."
Gibran Rakabuming Raka Ketahuan Menggunakan Otak Panduan saat Debat Cawapres oleh Tretan Muslim dan Coki Pardede,"Beredar sebuah video di media sosial TikTok yang mengeklaim bahwa Gibran Rakabuming Raka ketahuan menggunakan otak panduan saat pelaksanaan debat cawapres yang diletakkan di punggungnya oleh Tretan Muslim dan Coki Pardede.Faktanya, klaim narasi pada video tersebut adalah tidak benar. Dilansir dari suara.com, video tersebut merupakan video sindiran yang ditujukan untuk Roy Suryo. Video yang dibuat oleh Tretan Muslim dan Coki Pardede tersebut seolah-olah menjadi balasan atas komentar Roy Suryo saat debat cawapres. Sebelumnya Roy Suryo pada akun Twitter/X-nya mengeklaim bahwa Gibran Rakabuming Raka membuat kecurangan saat debat."
MURI Prabowo Capres 3 Kali Kalah Secara Beruntun,"Hasil periksa fakta LuthfiyahGambar rekor di capres 3 kali kalah secara beruntun yang diperoleh Prabowo merupakan hasil editan. Faktanya, pada website muri tidak ditemukan rekor tersebut, sehingga masuk dalam kategori konten parodi.Selengkapnya pada bagian penjelasan.  “PIAGAM PENGHARGAANMUSEUM REKOR-DUNIAINDONESIANo. 9506/R.MURI/IV/2022Dianugerahkan KepadaPrabowo SubiantoATAS REKORCapres 3X Kalah Secara Beruntun” Akun Facebook Guz Zhotex pada 26 Desember 20023 memposting sebuah gambar rekor Muri Indonesia. Rekor murid tersebut di kepada Prabowo Subianto atas rekor capres 3 kali kalah secara beruntun. Guz Zhotex juga menambahkan caption “Rekor dunia kepresidenan RI”.Setelah ditelusuri pada website MURI tidak ditemukan rekor tersebut. Gambar tersebut merupakan gambar editan. Saat telusuri menggunakan nomor MURI No. 9506/R.MURI/IV/2022 di Google, tidak ditemukan memori seperti yang diposting oleh Guz Zhotex. Ditemukan beberapa artikel yang membantah mengenai rekor capres 3 kali kalah secara beruntun yang diperoleh oleh Prabowo.Dengan demikian gambar rekor di capres 3 kali kalah secara beruntun yang diperoleh Prabowo merupakan hasil editan. Pada website muri tidak ditemukan rekor tersebut, sehingga masuk dalam kategori konten parodi.REFERENSI:"
Mahfud MD Ngamuk di Istana Negara,"Hasil periksa fakta Vendra PanjiHingga akhir video tidak dijelaskan tentang benar adanya peristiwa Mahfud MD yang mengamuk di Istana karena kecurangan dalam pemilu, Mahfud MD hanya memberikan statement mengenai banyaknya laporan yang ia terima terkait dengan kecurangan pemilu.[KATEGORI]: Konten menyesatkan Facebook   “Mahfud ng4muk di istana yang mau melakukan k3cur4ng4n pemilu.” Beredar di Facebook sebuah video yang menampilkan judul menarasikan Mahfud MD mengamuk di Istana Negara terkait adanya kecurangan dalam pemilu 2024.Namun, saat disimak isi dari video tersebut narator hanya mengulas sebuah artikel Republika.co.id yang berjudul “Soal Pemilu, Mahfud MD: Sesuatu yang Diperoleh tak Baik, tak akan Beri Berkah”Dalam artikel tersebut membahas mengenai Mahfud MD yang mengatakan bahwa pihaknya mendapatkan berbagai laporan soal dugaan kecurangan dalam tahapan pemilu. Mahfud MD juga meminta masyarakat yang bergabung dengan kontestan pemilu agar tertib dalam memproduksi informasi, termasuk dengan tidak memproduksi berita bohong atau hoaks.Hingga akhir video tidak dijelaskan tentang benar adanya peristiwa Mahfud MD yang mengamuk di Istana karena kecurangan dalam pemilu, Mahfud MD hanya memberikan statement mengenai banyaknya laporan yang ia terima terkait dengan kecurangan pemilu.  :"
Video Ganjar diciduk Bawaslu karena bagikan sembako saat kunjungan kerja,"Sebuah video YouTube menampilkan Gubernur Jawa Tengah sekaligus bakal calon presiden dari PDIP Ganjar Pranowo membagikan sembako saat kunjungan kerja. Dalam video tersebut, Ganjar disebut sudah memulai kampanye terlebih dahulu sebelum jadwal resmi dari KPU. Narasi dalam judul unggahan tersebut juga disebut Ganjar diciduk oleh Bawaslu karena membagikan sembako saat kunjungan kerja. Berikut narasi dalam unggahan tersebut: “GEMPAR !! B4WASLU CIDUK GANJAR BAGI-BAGI SEMBAKO DI SAAT KUNJUNGAN KERJA || BERITA TERBARU” Namun, benarkah Ganjar diciduk Bawaslu karena bagikan sembako saat kunjungan kerja? Unggahan video hoaks yang menyatakan Ganjar diciduk Bawaslu karena membagikan sembako saat kunjungan kerja. Faktanya, isi video tidak sesuai dengan narasi judul. (YouTube) Berdasarkan penelusuran, thumbnail dalam video tersebut serupa dengan unggahan berita pada laman Detik yang berjudul “Bagi-bagi Sembako, Relawan Ganjar Galang Dukungan di Jawa Barat”. Dalam unggahan tersebut, relawan Sahabat Ganjar menggalang dukungan untuk Ganjar Pranowo sebagai Capres 2024 dengan mengunjungi beberapa kota-kabupaten di Jawa Barat pada Minggu 13 Maret 2022. Selain itu, tidak dijelaskan kehadiran Ganjar dalam isi berita tersebut. Jadi, foto Ganjar dalam acara pembagian sembako tersebut merupakan editan. Selain itu, narator hanya membacakan berita CNN yang berjudul “Survei LSI Denny JA: Prabowo Unggul Tipis dari Ganjar, Anies Ketiga”, yang menjelaskan hasil survei LSI Denny JA mencatat elektabilitas Ketua Umum Partai Gerindra Prabowo Subianto unggul dari Gubernur Jawa Tengah Ganjar Pranowo dan mantan Gubernur DKI Jakarta Anies Baswedan. Dengan demikian, unggahan video yang menyatakan Ganjar diciduk Bawaslu karena membagikan sembako saat kunjungan kerja merupakan keliru. Video Ganjar diciduk Bawaslu karena bagikan sembako saat kunjungan kerja Hoaks"
Vitamin K berbahaya bagi bayi baru lahir,"Jakarta (ANTARA/JACX) - Sebuah klaim yang beredar di TikTok menyebutkan kandungan berbahaya dalam vitamin K, yang dapat mengancam nyawa bayi baru lahir Kandungan yang disebut bisa meracuni dan merugikan perkembangan tubuh bayi itu, meliputi polisorbat 80 dan aluminium. Bayi baru lahir yang mendapatkan suntikan vitamin K, diterangkan berpotensi menderita autisme dan menimbulkan masalah autoimun. Kandungan dalam vitamin K juga ditengarai menjadi penyebab terjadinya sudden infant death syndrome (SIDS), yakni kematian bayi secara tidak terduga. Berikut isi narasi yang diubah dalam Bahasa Indonesia: “Apa yang ada dalam suntikan vitamin k yang mereka berikan kepada bayi yang baru lahir…. mereka telah meracuni bayi kita selama beberapa dekade. Bahan aktif utamanya adalah polisorbat 80 dan ada kaitan kuat antara infertilitas dengan masalah autoimun. Poli sorbat 80 dilarang di banyak negara terutama suntikan. INI BAGAIMANA MEREKA MERACUN DAN MEMBUNUH BAYI YANG BARU BAYI Semua aluminium itu bisa menyebabkan anak meninggal atau menderita autisme. Juga, ibu yang kehilangan anak karena kematian SIDS, bahkan 50 tahun yang lalu, akhirnya membuat hubungan dengan vaksinasi rumah sakit dan kematian SIDS,”. Namun, benarkah vitamin K berbahaya bagi bayi baru lahir? Tangkapan layar narasi hoaks yang menyatakan vitamin K berbahaya bagi bayi baru lahir. (TikTok) Penjelasan: Pusat Pengendalian dan Pencegahan Penyakit Amerika Serikat (CDC) menyatakan aluminium ditambahkan ke beberapa vaksin, untuk membantu tubuh membangun kekebalan yang lebih kuat terhadap kuman dalam vaksin. Aluminium dengan jumlah yang sangat kecil telah menjadi kandungan umum dan aman dalam vaksin sejak 1930, dilansir dari AFP. Sedangkan Badan Pengawas Obat dan Makanan Amerika Serikat (FDA) menjelaskan bukan hanya dalam vaksin, aluminium juga terdapat di udara, makanan, dan air. FDA menambahkan tidak ada efek samping yang dilaporkan pada bayi yang menerima vaksin dengan Polysorbate 80, sehingga dinyatakan aman. Mengacu Halodoc, vitamin K merupakan elemen penting bagi bayi baru lahir. Vitamin K membantu proses pembekuan darah dan mencegah perdarahan. Pada bayi baru lahir, kekurangan vitamin K atau juga disebut dengan istilah Vitamin K Deficiency Bleeding (VKDB), dapat menyebabkan terjadinya perdarahan di berbagai organ tubuh, seperti otak, lambung, dan usus. Kekurangan vitamin K dalam tubuh bisa memicu timbulnya memar yang luas, meski hanya karena cedera kecil serta darah yang terus mengucur pada luka basah. Dengan demikian, narasi soal bahayanya vitamin K bagi bayi baru lahir terbantahkan. Klaim: Vitamin K berbahaya bagi bayi baru lahir Rating: Disinformasi"
