Title,Text
"Gelar Tebus Murah di Tangsel, Relawan Gibran Ajak Masyarakat Hadir ke TPS","Jakarta - Barisan Relawan For Gibran (Barisan RFG) menggelar tebus murah 2 ribu paket sembako dan makan siang 6 ribu porsi yang diborong dari dagangan UMKM lokal di Serpong, Kota Tangerang Selatan. Dalam kegiatan kampanye ini, para relawan mengingatkan masyarakat untuk hadir ke TPS pada pemilu mendatang.""Selain itu, kami mengingatkan masyarakat yang kebanyakan emak-emak kalau punya anak yang sudah berusia 17 tahun (Generasi Z) atau yang sudah memiliki hak pilih, diajak untuk datang ke TPS dan mencoblos paslon nomor urut 02 Bapak Prabowo Subianto dan Mas Gibran Rakabuming Raka,"" kata Ketua Dewan Pembina Barisan RFG Reza Fahlevi dalam keterangan tertulis, Minggu (4/2/2024).Reza menjelaskan program tebus murah sembako digelar relawan Barisan RFG di 18 provinsi untuk selalu menggaungkan keberhasilan pembangunan di 2 periode Pemerintahan Presiden Joko Widodo. ""Kepada seluruh Koordinator Daerah dan relawan Barisan RFG, saya selalu berpesan untuk juga menyuarakan narasi keberhasilan pembangunan di masa Presiden Jokowi. Angkat juga soal pemindahan Ibu Kota Negara dari Jakarta ke Ibu Kota Nusantara di Kabupaten Penajam Paser Utara, Kalimantan Timur,"" ujarnya.Ia menyebut keberhasilan di era Pemerintahan Jokowi butuh keberlanjutan. Menurutnya, hanya paslon nomor urut 02 yang berkomitmen melanjutkan seluruh program baik dan unggulan di masa Presiden Jokowi.""Narasi kampanye kami hanya 2: warga puas atas keberhasilan pembangunan 2 periode Pemerintahan Presiden Jokowi dan komitmen keberlanjutan hanya dimiliki oleh Paslon nomor 02,"" papar Reza.Ia pun turut menyinggung pertumbuhan ekonomi kreatif di Tangsel yang diproyeksikan akan terus meningkat karena Tangsel sudah memanfaatkan bonus demografi. Menurutnya, usia produktif angkatan kerja dari anak muda yang melimpah bisa semakin mengakselerasi ekonomi kreatif di sana.""Selain itu, keberpihakan Pemerintahan Presiden Jokowi terhadap kemajuan industri ekonomi kreatif begitu besar baik sisi regulasi maupun realisasi program. Hal itu yang akan dilanjutkan oleh Mas Gibran sebagai anak muda pelaku ekonomi kreatif dan sukses menggeliatkan industri kreatif di Surakarta sebagai wali kota,"" terangnya.Dalam kesempatan yang sama, Ketua Tim Kampanye Daerah (TKD) Banten Airin Rachmi Diany turut mengajak warga Serpong mencoblos Prabowo-Gibran di tanggal 14 Februari 2024 mendatang.""Terima kasih Barisan RFG atas kampanye kerakyatannya, tebus murah 2 ribu paket sembako sangat bermanfaat bagi warga Serpong. Jangan lupa nanti tanggal 14 Februari ajak anak-anaknya yang sudah punya hak pilih datang ke TPS coblos nomor urut 02 ya,"" pesan Airin.Airin juga mengingatkan warga Tangsel agar menjadi warga negara yang baik dengan menunaikan hak pilihnya atau tidak golput.""Mari kita rayakan pesta demokrasi dengan bermartabat dan riang gembira. Jangan golput, karena suara kita sangat berarti untuk masa depan bangsa dan negara,"" pungkasnya. (akd/ega)"
"Prabowo ke Anies: Anda Itu Menyesatkan, Tak Berhak Bicara soal Etik","Jakarta - Capres nomor urut 2, Prabowo Subianto, menyebut capres nomor urut 1, Anies Baswedan, tidak pantas bicara mengenai etik. Hal ini disampaikan ketika Prabowo menanggapi pertanyaan Anies di dalam debat.Awalnya, Anies meminta Prabowo menjelaskan perihal adanya dugaan orang dalam di pengadaan alutsista dan food estate yang dipegang Prabowo sebagai Menteri Pertahanan. Anies juga menyebut Prabowo membiarkan pelanggaran etik.Prabowo mengatakan data yang disampaikan Anies itu keliru. Dia juga bersedia buka-bukaan data dengan Anies. Prabowo kemudian mengatakan keberatan bila Anies bicara mengenai etik. Dia menyebut Anies tidak pantas bicara tentang etik.""Saudara bicara etik, etik saya itu keberatan. Karena itu saya punya nilai, maaf ya karena Anda desak saya, saya terus terang saja Anda tidak pantas bicara soal etik. Itu saja,"" kata Prabowo dalam debat yang diselenggarakan KPU di Jakarta, Minggu (7/1/2024).Prabowo menyebut Anies menyesatkan. Sebab, kata Prabowo, Anies memberi contoh yang tidak baik.""Saya merasa bahwa Anda itu posturing, Anda itu menyesatkan, itu aja ya, saya boleh berpendapatkan?"" katanya.""Saya menilai Anda tidak berhak bicara soal etik, karena Anda memberi contoh yang tidak baik soal etik, terima kasih,"" ucap Prabowo. (zap/dhn)"
PDIP Usul TPN Bikin Tim Investigasi Dugaan Kecurangan: Kami Komunikasi ke 01,"Jakarta - Sekjen PDIP Hasto Kristiyanto menyebutkan akan mengusulkan kepada Tim Pemenangan Nasional (TPN) Ganjar-Mahfud membentuk tim khusus untuk menginvestigasi dugaan kecurangan di Pemilu 2024. Hasto menyebut sudah berkomunikasi dengan pihak paslon nomor urut 1 Anies Baswedan-Muhaimin Iskandar (AMIN).""Kami akan mengusulkan kepada TPN Ganjar-Mahfud agar dibentuk suatu tim khusus. Tidak hanya terdiri dari tim hukum, kelompok-kelompok ahli hukum, para pakar berkaitan dengan demografi. Kemudian juga investigasi forensik untuk melihat dari seluruh proses-proses yang ada dan tim khusus ini tentu saja juga akan menampung dari pihak-pihak yang punya interest begitu besar di dalam menjaga demokrasi Indonesia,"" kata Hasto Kristiyanto di DPP PDIP, Jakarta Pusat, Rabu (14/2/2024).Hasto menilai dugaan kecurangan yang terjadi di Pemilu 2024 dilakukan dari hulu hingga ke hilir. Kondisi dalam negeri, lanjut Hasto, berbeda dengan luar negeri, di mana tidak ada manuver bantuan sosial hingga intimidasi dari instansi tertentu. ""Bahkan dari para pengamat dikatakan demokrasi Indonesia mengalami titik nadir dan terburuk dalam pelaksanaan pemilu pasca reformasi karena begitu banyak kecurangan masif yang terjadi dari hulu ke hilir,"" ujarnya""Exit pool di luar negeri itu mencerminkan tidak adanya operasi bansos, tidak adanya operasi intimidasi, tidak adanya operasi keterlibatan dari institusi-institusi negara sehingga warga Indonesia bisa menyampaikan pilihannya secara jernih,"" imbuhnya.Hasto mengatakan pihaknya sudah berkomunikasi dengan Timnas AMIN terkait dugaan kecurangan yang ada. Namun timsus bentukan TPN Ganjar-Mahfud tidak akan bergabung dengan Timnas AMIN meski memiliki kepentingan yang sama untuk menegakkan demokrasi Indonesia.""Kami berkomunikasi dengan tim 01 mereka juga akan melakukan hal yang sama sehingga ini tidak digabung karena dalam proses misalnya disidang di MK ini bukti-bukti material di mata hukum. Tetapi kami membuka tokoh-tokoh yang terpanggil nuraninya yang melihat adanya suatu keanehan anomali yang melihat lebih tepatnya anomali di dalam demokrasi kita saat ini. Sisi sisi gelap kekuasaan yang bekerja,"" jelasnya.Hasto menuding adanya dugaan kecurangan masif dilakukan hingga timbul fenomena overshooting pada Pemilu 2024 di Indonesia. Dia mengungkit kondisi tersebut sama dengan kondisi pemilu di Timor Timur pada 1997.""Kami melihat nampak adanya fenomena over shooting. Jadi kalau berburu itu nembaknya berlebihan. Ini pernah terjadi di Timor Timur pada Pemilu 1997 ketika suatu operasi masif dilakukan, maka sampai rezim penguasa saat itu kaget karena partai penguasa saat itu sampai mendapatkan hampir 100 persen,"" tuturnya.Lebih lanjut, Hasto meminta semua pihak menunggu hasil rekapitulasi penghitungan suara oleh KPU RI. Saat ini seluruh kader PDI Perjuangan hingga relawan tengah mengumpulkan dugaan kecurangan yang ada untuk selanjutnya ditindaklanjuti.""Kami ingatkan pesan dari Bung Karno bahwa di dalam perjuangan itu, itu tidak ada yang sia-sia, no sacrifice is wasted. Dan kesabaran revolusioner itulah yang akan menentukan karena pemilu tidak ditentukan oleh hasil, tetapi oleh pasca-pemilu itu bagaimana kerusakan-kerusakan demokrasi akan membawa suatu implikasi yang sangat serius di dalam kehidupan politik kita,"" pungkasnya. (wnv/lir)"
"Hasto: Ada yang Deg-degan Tes Kesehatan, Kalau Ganjar-Mahfud Fit","Jakarta - Bakal capres Ganjar Pranowo dan bakal cawapres Mahfud Md akan melakukan tes kesehatan di RSPAD pada Minggu (22/10) mendatang. Sekjen PDIP Hasto Kristiyanto memastikan keduanya siap tes kesehatan.""Tes kesehatan semua siap, karena kedua-duanya fit,"" kata Hasto kepada wartawan di Teuku Umar, Jakarta Pusat, Kamis (19/10/2023).Hasto menyinggung ada pihak yang grogi dengan tes kesehatan. Namun dia tidak memerinci siapa yang dimaksud. ""Mungkin ada yang deg-degan dengan tes kesehatan, tapi kalau Pak Ganjar, Pak Mahfud Md itu sangat fit,"" ucapnya.Hasto mengatakan wajar jika ada yang deg-degan dengan tes kesehatan. Hasto menyebut bisa saja ada yang takut jarum suntik.""Namanya diperiksa kan mungkin ada yang deg-degan, kan ada yang takut jarum suntik,"" imbuhnya.Simak Video 'KPU Jadwalkan Ganjar-Mahfud Tes Kesehatan Minggu: Bertepatan Hari Santri':[Gambas:Video 20detik] (maa/gbr)"
Puan Tak Khawatir Gibran Rebut Suara PDIP di Jateng: Semua Punya Strategi,"Jakarta - Ketua DPP PDIP, Puan Maharani tidak khawatir suara PDIP di Jawa Tengah tergerus setelah Wali Kota Solo, Gibran Rakabuming maju sebagai cawapres Prabowo Subianto. Puan menyebut semua sudah memiliki strategi masing-masing.""Ya nggakpapa. Kan semuanya punya strategi. Kita sama-sama, kita jaga suaranya yang ada di Jateng, kita lihat nanti,"" ujar Puan setelah rapat bersama Tim Pemenangan Nasional (TPN) Ganjar Presiden di Jakarta, Rabu (25/10/2023).Puan juga mengingat pesan yang disampaikan Presiden Joko Widodo (Jokowi). Pesan yang dimaksud adalah biarkan rakyat yang memilih dan menentukan. ""Seperti yang Pak Presiden sampaikan. Biar rakyat yang memilih, rakyat yang menentukan,"" tutur Puan.Seperti diketahui, Prabowo Subianto dan Gibran Rakabuming Raka resmi mendaftar sebagai calon presiden dan calon wakil presiden ke KPU. Prabowo-Gibran menjadi pasangan ketiga yang mendaftar ke KPU.Pantauan detikcom, Rabu (25/10/2023), Prabowo dan Gibran tiba di KPU, Jakarta, sekira pukul 11.19 WIB. Prabowo-Gibran diantar para ketua umum partai politik di Koalisi Indonesia Maju (KIM) dalam pendaftaran hari ini.Keduanya langsung masuk ke dalam ruang transit VIP dan melakukan pengisian buku pendaftaran. Kedatangan Prabowo dan Gibran disambut oleh Sekretaris Jenderal KPU RI, Bernad Dermawan.Prabowo dan Gibran pun kemudian memasuki ruangan pendaftaran. Mereka kemudian menyerahkan dokumen pendaftaran syarat capres cawapres kepada Ketua KPU RI Hasyim Asy'ari dan anggota KPU RI lainnya.Hasyim tampak menerima dokumen persyaratan tersebut. Sesi pendaftaran ini ditutup dengan foto bersama.Simak Video 'Puan Tepis Isu Keretakan Jokowi-PDIP gegara 3 Periode': [Gambas:Video 20detik] (dek/dek)"
"Cak Imin: Kalau Kita Tebak-tebakan Definisi, Jangan-jangan Ijazahnya Palsu Semua","Calon wakil presiden (cawapres) nomor urut 2, Gibran Rakabuming Raka mengakui bahwa ada proyek food estate yang mengalami kegagalan. Hal itu disampaikannya di sesi kelima debat keempat Pilpres 2024 yang digelar di Jakarta Convention Center (JCC), Senayan, Jakarta, Minggu (21/1/2024) malam. Mula-mula, Gibran menyampaikan terimakasih dan minta maaf kepada cawapres nomor urut 3, Mahfud MD jika ada kata-katanya dalam debat yang menyinggung. Kemudian, Gibran menyinggung soal pasangan capres-cawapres nomor urut 1 dan capres-cawapres nomor urut 3 yang memberikan narasi menakutkan untuk masyarakat. Salah satunya soal ketersediaan pangan dan program food estate. Gibran lantas mengakui bahwa ada food estate yang mengalami kegagalan. ""Intinya adalah program-program yang sudah berjalan sekarang nomor 1 dan nomor 3 ini kan kompak (mengatakan) good estate gagal. Saya tegaskan sekali lagi, Pak, memang ada yang gagal. Tapi ada yang berhasil juga. Yang sudah panen misalnya di Gunung Mas Kalimantan Tengah itu sudah panen jagung, singkong,"" ujar Gibran dilansir siaran YouTube KPU RI. ""Itu Pak, cek saja nanti. Cek saja datanya. Intinya adalah warga jangan diberikan narasi-narasi yang menakutkan, kita harus optimis. Bapak-bapak ini adalah calon-calon pemimpin harus optimis jangan memberikan narasi-narasi yang menakutkan kepada warga dan masyarakat,"" tambah Gibran. Adapun debat keempat Pilpres 2024 kali ini diikuti oleh tiga orang cawapres. Yakni cawapres nomor urut 1 Muhaimin Iskandar, cawapres nomor urut 2 Gibran Rakabuming Raka dan cawapres nomor urut 3 Mahfud MD. Debat dimulai pukul 19.00 WIB dan disiarkan secara langsung melalui stasiun televisi nasional. Dalam debat keempat kali ini ada sejumlah tema yang dibahas, yaitu pembangunan berkelanjutan, sumber daya alam, lingkungan hidup, energi, pangan, agraria, masyarakat adat, dan desa. Debat ini akan dimoderasi oleh dua moderator, yaitu Retno Pinasti dari SCTV dan Zilvia Iskandar dari Metro TV."
Gibran Janji Lanjutkan Program Ayahnya Terkait Hilirisasi Pertambangan,"Bakal calon wakil presiden (cawapres) Gibran Rakabuming Raka berjanji akan melanjutkan program ayahnya, Presiden Joko Widodo terkait hilirisasi pertambangan. Hal ini disampaikan Gibran di Indonesia Arena, Kompleks Stadion Gelora Bung Karno, Jakarta, Rabu (25/10/2023). ""Tak lupa hilirisasi untuk komoditas pertambangan pertanian dan ini wajib dan juga ekonomi hijau dan energi hijau untuk keberlanjutan,"" ujar Gibran. Ia yakin bahwa keberlanjutan dan konsistensi adalah modal untuk melompat lebih jauh menuju Indonesia Emas 2045. Gibran juga menjanjikan program dana abadi pesantren jika menang Pemilihan Presiden (Pilpres) 2024 bersama bakal calon presiden (capres) Prabowo Subianto. ""Dana abadi pesantren ini adalah mandat Undang-undang Nomor 18 Tahun 2019,"" kata Gibran. Selain itu, Gibran juga memaparkan berbagai program unggulan lainnya. Seperti kur, kredit mekar, wakaf mikro, kredit ekstra mikro, dan kredit start up milenial. ""Ini untuk bisnis, bisnis para milennial yang berbasis inovasi dan teknologi,"" kata Gibran. Selanjutnya ada pula program Kartu Indonesia Sehat, Program Keluarga Harapan, dan Kartu Indonesia Lansia. ""Ada satu lagi tapi ini yang bawa biar istri saya saja, soalnya ini berhubungan dengan ibu dan anak. Kartu anak sehat untuk pencegahan stunting,"" pungkas dia. Diketahui, program hilirisasi mengenai komoditas mineral dan non-mineral tengah digenjot Jokowi. Jokowi mengakui bahwa program hilirisasi awalnya akan terasa pahit bagi para pengekspor bahan mentah. Namun, jika ekosistem hilirisasi terus dilanjutkan, akan memberikan nilai tambah. ""Ini juga pahit bagi pendapatan negara jangka pendek. Tapi, jika ekosistem besarnya sudah terbentuk, jika pabrik pengolahannya sudah beroperasi, saya pastikan Ini akan berbuah manis pada akhirnya,"" kata Jokowi dalam Pidato Kenegaraan pada Sidang Tahunan MPR dan Sidang Bersama DPR-DPR, Rabu (16/8/2023)."
"Gerakan Orde Muda Road Show Jateng dan DIY, Ajak Ambil Peran di Pilpres","Jakarta - Founder Gerakan Orde Muda, Fathul Nugroho, mengatakan pembangunan sebuah bangsa tidak bisa dipisahkan dengan peran generasi muda. Produktivitas dan kreativitas anak muda menjadi daya ungkit besar bagi pembangunan.Fathul menyampaikan itu dalam road show gerakan orde muda pada 5-20 Januari 2024 mulai dari Kota Solo, Salatiga, Semarang, Kota Yogyakarta, dan kota-kota lain di Jateng dan DIY. Road show itu sebagai rangkaian konsolidasi nasional Gerakan Orde Muda, dalam upaya membangkitkan spirit anak muda, untuk turun tangan membangun bangsa di ruang-ruang pembangunan, baik bidang ekonomi, politik, dan sosial Indonesia.Fathul menjelaskan, dalam konteks demokrasi Pilpres 2024, anak muda dari kelas menengah dan terdidik, utamanya para mahasiswa yang berada di kampus-kampus akan menjadi kunci kemenangan bagi pasangan capres dan cawapres yang bertarung di pilpres. Sebab, apabila mereka sudah menentukan pilihan dan kemudian bergerak, akan mampu mengajak pemilih lain dari kalangan bawah maupun atas. Menurutnya, capres Prabowo Subianto adalah satu-satunya capres yang tegas dan berani mengambil anak muda sebagai pasangannya, yaitu Gibran Rakabuming Raka.Karena itu, Fathul berharap kegiatan ""Nongkrong Bareng Orde muda"" ini menjadi ruang anak muda untuk memberikan pikiran-pikiran kritisnya, ide kreatif, dan partisipasinya dalam proses demokrasi. Sebagai jembatan untuk berperan aktif dalam membangun indonesia ke depan. Karena anak muda yang penuh optimisme dan berperan aktif dalam demokrasi itu adalah sebuah langkah awal untuk akselerasi menuju Indonesia Maju.""Diskusi Orde Muda di Jawa Tengah dan Yogyakarta ini membedah mengenai tantangan zaman di era keterbukaan dan kemajuan teknologi digital yang sangat dinamis. Anak muda adalah harapan, dan harus terdepan dalam menghadapi dan memberikan solusi atas rintangan dan tantangan zaman yang dinamis. Hal ini seperti kata-kata melegenda Bung Karno, 'berikan aku 10 Pemuda, maka akan ku guncang 'dunia"". Kata-kata itu menggambarkan betapa besarnya peran anak muda bagi Indonesia,"" kata Fathul dalam keterangan tertulisnya, Minggu (21/1/2024).Fathul mengatakan Gerakan Orde Muda juga sejalan dengan program pemerintah saat ini yang juga sudah memberikan kesempatan bagi anak muda mengembangkan diri. Baik itu dari segi permodalan, pelatihan, dan pendampingan usaha.""Sebagai upaya untuk mencapai Indonesia emas 2045, Gerakan Orde Muda akan mengambil peran maksimal bersama anak-anak muda Indoneaia untuk berdiskusi dan turun tangan langsung dari kampus-kampus dan forum-forum diskusi di seluruh tanah air untuk menjadi lokomotif yang membawa Indonesia menjadi negara maju,"" pungkas Fathul.Simak Video 'Jawaban Mahfud Saat Ditanya Cak Imin soal Kesalahan Kepemimpinan':[Gambas:Video 20detik] (idh/dhn)"
Anies Baswedan Diadukan ke Bareskrim soal Akronim 'AMIN' di Kampanye,"Jakarta - Capres nomor urut 1, Anies Baswedan, diadukan ke Bareskrim Polri terkait dugaan penistaan agama karena penggunaan akronim 'AMIN' dalam kampanye Pilpres 2024. Pengaduan dilakukan oleh Koordinator Forum Aktivis Dakwah Kampus Indonesia, Umar Segala.Umar mengatakan penggunaan kata 'AMIN' sebagai akronim dari Anies Baswedan-Muhaimin Iskandar merupakan bentuk penistaan agama. Sebab, kata dua, kata amin merupakan frasa suci yang dimaknai sebagai permohonan dan pengharapan manusia kepada sang pencipta.""Karena sudah jelas dikatakan dalam agama Islam dan juga bahkan seluru agama yang ada di Republik Indonesia ini 'amin' ini sudah disetujui sebagai pengkabulan atau pengharapan kita terhadap Tuhan kita,"" kata Umar kepada wartawan di Bareskrim Polri, Jakarta Selatan, Jumat (22/12/2023). ""Sudah dijelaskan bahwa dalam hadits-hadits bahwa penggunaan Amin ini adalah kata suci, penggunaannya sebagai bentuk harapan kita terhadap Tuhan Yang Maha Esa,"" sambungnya.Umar menilai tidak seharusnya frasa suci digunakan untuk kepentingan politis. Karena itu, kata Umar, apa yang dilakukan Anies termasuk dalam politisasi agama.Lebih jauh, menurut, Umar seharusnya penggunaan akronim 'AMIN' yang selama ini dipakai Anies tak sepatutnya dilanjutkan. Sehingga, kata dia, tak ada lagi pihak-pihak yang memperalat agama untuk memenangkan pemilu.""Ini adalah sebuah politisasi yang sangat tidak berguna. Politisasi rendah, bahwasanya politisasi agama masih dilakukan untuk mendapatkan suatu kepentingan publik di era demokrasi ini,"" ungkap Umar.""Mengapa kalimat AMIN ini dilakukan sementara masih banyak singkatan-singkatan nama yang masih bisa ditoleransikan kepada capres 01 ini,"" lanjutnya.Masih dalam kesempatan yang sama, Umar juga mengadukan Anies karena aksinya yang melakukan guyonan tasyahud dengan dua jari. Hal itu dilihat melalui kanal Youtube Ustad Abdul Somad pada 13 Desember lalu.""Bahwasanya Anies Baswedan telah mempermainkan gerakan salat. Beliau menunjukkan nomor 2, tapi dalam artian yang dijelaskan oleh beliau itu gerakan salat,"" tuturnya.Menguatkan laporannya, Umar mengaku menyerahkan sejumlah barang bukti berupa tangkapan layar saat Anies memposekan dua jari saat tasyahud juga hadits-hadits terkait penggunaan kata Amin.Karena itu dia berharap agar Polri dapat mengusut kasus tersebut sehingga tidak memicu kericuhan di masyarakat.""Tidak boleh ada capres yang menghalalkan cara untuk meraih simpati dan kemenangan,"" pungkasnya.Simak Video 'Klarifikasi Abah Kirun soal Isu Disogok Gus Miftah agar Tak Dukung AMIN': [Gambas:Video 20detik]Simak jawaban dari pihak Anies-Cak Imin selengkapnya di halaman berikutnya. Halaman 1 2 Selanjutnya"
